Unnamed: 0,ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
207,tt14492938,Aanamuttathe Aangalamar,2000,108.0,0.0,0.0,"Comedy, Drama            ",malayalam
208,tt0370808,Jhankar,1942,0.0,0.0,0.0,-,hindi
209,tt0333636,Ira Thedunna Manushyar,1981,0.0,0.0,0.0,-,malayalam
210,tt1081913,Aideu,2007,91.0,0.0,0.0,-,assamese
211,tt0203289,American Desi,2001,100.0,6.6,1583.0,"Comedy, Drama, Romance            ",hindi
212,tt2548030,Chettayees,2012,0.0,4.7,134.0,Family            ,malayalam
213,tt0352162,Ambalakkara Panchayath,1988,0.0,0.0,0.0,-,malayalam
214,-,Khape,2018,0.0,0.0,0.0,Drama            ,gujarati
215,tt5994746,Supportive Men,2014,21.0,0.0,0.0,"Documentary, Short, Family            ",nepali
216,-,Vivash,2018,0.0,0.0,0.0,-,hindi
217,tt11423262, Alif Laila,19972002,0.0,0.0,0.0,"Adventure, Fantasy            ",urdu
218,tt14361576,Poila April,2021,0.0,0.0,0.0,Drama            ,bengali
219,tt0406556,Bachelor Husband,1950,0.0,0.0,0.0,-,hindi
220,tt0156852,Oru Nadigai Natakam Pakiral,1978,131.0,6.2,12.0,-,tamil
221,tt1305021,Dunia Gol Hai,1974,0.0,0.0,0.0,-,urdu
222,tt4209790,Chalta Purza,1958,0.0,0.0,0.0,Fantasy            ,hindi
223,tt6588966,Hichki,2018,116.0,7.5,10905.0,"Comedy, Drama            ",hindi
224,tt0363777,Lover Boy,1985,0.0,4.1,19.0,"Drama, Romance            ",hindi
225,tt0962716,Babul,1986,162.0,4.8,9.0,Drama            ,hindi
226,tt7683212,Babu,2020,26.0,0.0,0.0,"Short, Drama            ",nepali
227,tt9725092,Swabhimaan,2019,122.0,0.0,0.0,Drama            ,gujarati
228,tt0214941,Meera,1947,120.0,7.7,14.0,-,hindi
229,tt0314566,Red Indians,2001,0.0,4.7,15.0,-,malayalam
230,tt1319643,Navabharata,1988,0.0,0.0,0.0,-,kannada
231,tt11102314,Tribhanga,2021,95.0,6.1,2406.0,"Drama, Family            ",hindi
232,tt13980542,Sri Bannari Amman,2002,149.0,0.0,0.0,Drama            ,tamil
233,tt13212228,Dear Love,2020,0.0,0.0,0.0,-,nepali
234,tt13057554,Apoorva Mahaan,2015,135.0,0.0,0.0,Drama            ,tamil
235,tt11543304,Haidar Sultan,1982,0.0,0.0,0.0,"Action, Drama            ",punjabi
236,tt11536276,3 Monkeys,2020,131.0,6.5,82.0,Drama            ,telugu
237,tt6650364,Carbon,2018,146.0,6.9,1115.0,"Adventure, Thriller            ",malayalam
238,tt0277061,Kaapalika,1973,131.0,7.8,5.0,-,malayalam
239,tt1339453,Karunamayi,1987,137.0,0.0,0.0,-,kannada
240,-,Phone Bhoot,2021,0.0,0.0,0.0,"Comedy, Horror            ",hindi
241,tt4417674,Aag aur Angaray,1990,0.0,0.0,0.0,Action            ,hindi
242,tt10626550,Athmasakhi,2016,0.0,0.0,0.0,-,malayalam
243,tt13086918,Vachikava,2014,0.0,0.0,0.0,Drama            ,tamil
244,tt4954470,Krishna Arjun,2004,0.0,0.0,0.0,Action            ,hindi
245,tt0152133,Rahi,1953,139.0,6.9,27.0,Drama            ,hindi
246,tt0436165,Chaukat Raja,1991,141.0,7.4,214.0,Family            ,marathi
247,tt13730178,School Master,2010,143.0,0.0,0.0,Drama            ,kannada
248,tt4920116,Halla Gulla,2015,0.0,5.2,77.0,"Action, Comedy            ",urdu
249,tt1954666,Monopoly the Game of Money,2012,0.0,0.0,0.0,Thriller            ,hindi
250,tt0246053,Maga Maharaju,1983,0.0,6.8,30.0,"Comedy, Drama, Romance            ",telugu
251,tt12976166,Band Baaja Babuchak,2017,123.0,0.0,0.0,Comedy            ,gujarati
252,tt0355250,Bebbuli Veta,1985,0.0,0.0,0.0,-,telugu
253,tt3439838,Gita,2008,0.0,0.0,0.0,Drama            ,telugu
254,tt0273321,Kusruthi Kuruppu,1998,135.0,5.8,40.0,"Comedy, Drama            ",malayalam
255,tt0329393,Mr. and Mrs. Iyer,2002,120.0,7.9,4681.0,Drama            ,tamil
256,tt6868074, Siyaasat,2014,0.0,0.0,0.0,History            ,urdu
257,tt0311337,Inth Ka Jawab Patthar,2002,0.0,3.2,9.0,"Musical, Action            ",hindi
258,-,Qalb,2018,0.0,0.0,0.0,"Drama, Romance            ",malayalam
259,tt0151765,Nisithe,1963,0.0,7.2,10.0,Drama            ,bengali
260,tt12121480,Cabbie,2019,19.0,0.0,0.0,"Short, Horror            ",nepali
261,tt0254936,Advaitham,1991,181.0,7.0,275.0,"Action, Crime, Drama            ",malayalam
262,tt0317900,Maruppacha,1982,0.0,0.0,0.0,-,malayalam
263,tt0454491,Kachehari,1994,0.0,6.4,14.0,Action            ,punjabi
264,tt0455261,Kismet Road,2004,30.0,0.0,0.0,Drama            ,urdu
265,tt2543854,Fever,2009,0.0,8.5,8.0,"Short, Fantasy            ",nepali
266,tt7586994,Kaashi Amarnath,2017,162.0,4.7,11.0,"Action, Drama, Romance            ",bhojpuri
267,tt0429541,Afsana Dilwalon Ka,2001,195.0,3.6,1024.0,"Drama, Romance            ",urdu
268,-,Paradise Street,2018,0.0,0.0,0.0,"Comedy, Romance, Thriller            ",hindi
269,tt14434198,Namukkore Aakasham,2015,115.0,0.0,0.0,Drama            ,malayalam
270,tt8806546,Argentina Fans Kaattoorkadavu,2019,140.0,4.7,319.0,"Drama, Sport            ",malayalam
271,tt3848938,Mr. X,2015,133.0,3.8,1816.0,"Action, Drama, Sci-Fi            ",hindi
