"ID";"CommonName";"SeriesAmount";"global_id";"FilmType";"FrameFormat";"Filmino";"Duration";"Year";"ProducingCountry";"FilmStudio";"IsColor";"AgeRestrictions";"CopyQuality";"DigitalVersion";
"Код";"Название";"Количество серий";"global_id";"Тип фильма";"Формат кадра";"Сведения о фильме";"Длительность";"Год выпуска";"Страна";"Студия";"Цветность";"Возрастные ограничения";"Категория качества копии";"Наличие электронной версии копии";
"1784";"Разгром Юденича";"1";"170812067";"художественный";"широкоэкранный";"исторический";"nested data";"1941";"nested data";"nested data";"чёрно-белый";"6+";"2";"нет";
"1786";"Распятые";"1";"170812068";"художественный";"широкоэкранный";"драма";"nested data";"1990";"nested data";"nested data";"цветной";"12+";"1, 2";"нет";
"1789";"Рваные башмаки";"1";"170812070";"художественный";"широкоэкранный";"драма";"nested data";"1933";"nested data";"nested data";"чёрно-белый";"6+";"1, 2";"нет";
"1790";"Ребенок к ноябрю";"1";"170812071";"художественный";"широкоэкранный";"комедия";"nested data";"1993";"nested data";"nested data";"цветной";"18+";"2, 3";"нет";
"1798";"Руслан и Людмила 2 серии";"2";"170812074";"художественный";"широкоэкранный";"";"nested data";"1972";"nested data";"nested data";"цветной";"12+";"3";"нет";
"1800";"Русский лес 2 серии";"2";"170812076";"художественный";"широкоэкранный";"";"nested data";"1964";"nested data";"nested data";"цветной";"12+";"3";"нет";
"1811";"Свадьба";"1";"170812080";"художественный";"широкоэкранный";"";"nested data";"1944";"nested data";"nested data";"чёрно-белый";"12+";"2";"нет";
"1812";"Свадьба с приданым";"1";"170812082";"художественный";"широкоэкранный";"комедия";"nested data";"1953";"nested data";"nested data";"чёрно-белый";"6+";"2, 3";"нет";
"1817";"Свой среди чужих, чужой среди своих";"1";"170812083";"художественный";"широкоэкранный";"";"nested data";"1974";"nested data";"nested data";"цветной";"16+";"1, 2";"нет";
"1821";"Секретарь райкома";"1";"170812086";"художественный";"широкоэкранный";"драма";"nested data";"1942";"nested data";"nested data";"чёрно-белый";"12+";"1, 2";"нет";
"1822";"Сельская учительница";"1";"170812087";"художественный";"широкоэкранный";"драма";"nested data";"1947";"nested data";"nested data";"чёрно-белый";"0+";"1, 2";"нет";
"1824";"Семеро смелых";"1";"170812089";"художественный";"широкоэкранный";"драма";"nested data";"1936";"nested data";"nested data";"чёрно-белый";"12+";"1, 2";"нет";
"1833";"Синяя птица";"1";"170812093";"художественный";"широкоэкранный";"";"nested data";"1970";"nested data";"nested data";"цветной";"0+";"1, 2, 3";"нет";
"1836";"Сказка о царе Салтане";"1";"170812095";"художественный";"широкоэкранный";"";"nested data";"1984";"nested data";"nested data";"цветной";"0+";"2, 3";"нет";
